ID,DoodadPlacementID,MinZ,MapID,WMOGroupID,DungeonMapID
3,0,-10000,574,22887,2
4,0,-10000,574,22848,1
5,0,-10000,574,22849,1
7,0,-10000,574,22881,1
8,0,-10000,574,22854,2
9,0,-10000,574,22857,41
10,0,-10000,574,22842,1
11,0,-10000,574,22850,1
12,0,-10000,574,22856,2
13,0,-10000,574,22855,41
14,0,-10000,574,22841,1
15,0,-10000,574,22843,1
16,0,68,574,22853,2
17,0,156,574,22887,41
1114,0,-10000,576,23473,25
1115,0,-10000,576,23474,25
1116,0,-10000,576,22597,25
1117,0,-10000,576,23332,25
1118,0,-10000,576,23333,25
1119,0,-10000,576,23335,25
1120,0,-10000,576,23337,25
1121,0,-10000,576,23339,25
1122,0,-10000,576,23340,25
1123,0,-10000,576,23442,25
1124,0,-10000,576,22598,25
1125,0,-10000,576,23545,25
1126,0,-10000,576,23546,25
1127,0,-10000,576,23444,25
1128,0,-10000,576,23334,25
1129,0,-10000,576,23336,25
1130,0,-10000,576,23338,25
1131,0,-10000,576,23441,25
1132,0,-10000,576,23443,25
1133,0,-10000,576,24024,25
1134,0,-10000,576,24025,25
1135,0,-10000,576,24026,25
1136,0,-10000,576,24027,25
1137,0,0,571,24539,26
1138,0,0,571,24540,26
1140,0,0,571,24815,27
1141,0,0,571,24816,27
1142,0,0,571,24819,27
1143,0,0,571,24820,27
1144,0,0,571,24821,27
1145,0,0,571,24822,27
1146,0,0,571,24823,27
1147,0,0,571,24824,27
1148,0,0,571,24825,27
1149,0,0,571,24826,27
1150,0,0,571,24827,27
1151,0,0,571,24828,27
1152,0,0,571,24829,27
1153,0,0,571,24064,27
1154,0,0,571,24711,27
1155,0,0,571,24713,27
1156,0,634,571,24726,27
1157,0,0,571,24727,27
1158,0,0,571,24850,27
1159,0,0,571,24851,27
1160,0,0,571,24939,27
1161,0,0,571,24940,27
1162,0,0,571,24941,27
1163,0,0,571,24942,27
1164,0,0,571,24943,27
1165,0,0,571,24591,27
1166,0,0,571,24693,27
1167,0,0,571,24694,27
1168,0,0,571,24685,27
1169,0,0,571,24704,27
1170,0,0,571,24552,27
1171,0,0,571,24553,27
1172,0,0,571,24554,27
1173,0,0,571,24555,27
1174,0,0,571,24556,27
1175,0,0,571,24558,27
1176,0,0,571,24734,27
1177,0,0,571,24735,27
1178,0,0,571,24609,27
1179,0,0,571,23974,27
1180,0,0,571,24042,27
1181,0,0,571,24069,27
1182,0,0,571,23935,27
1183,0,0,571,23936,27
1184,0,0,571,23940,27
1185,0,0,571,23941,27
1186,0,0,571,23942,27
1187,0,0,571,24615,27
1188,0,0,571,24616,27
1189,0,0,571,24610,27
1190,0,0,571,24647,27
1191,0,0,571,24676,27
1192,0,0,571,24677,27
1193,0,0,571,24579,27
1194,0,0,571,24584,27
1195,0,0,571,24769,27
1196,0,0,571,24717,27
1197,0,0,571,24718,27
1198,0,0,571,24719,27
1199,0,0,571,24720,27
1200,0,0,571,24722,27
1201,0,0,571,24724,27
1202,0,0,571,24725,27
1203,0,0,571,24573,27
1204,0,0,571,24527,27
1205,0,0,571,24529,27
1206,0,0,571,24530,27
1207,0,0,571,24536,27
1208,0,0,571,24537,27
1209,0,-10000,43,3314,28
1210,0,-10000,43,3316,28
1211,0,-10000,43,3318,28
1212,0,-10000,43,3320,28
1213,0,-10000,43,3321,28
1214,0,-10000,43,3325,28
1215,0,-10000,43,3327,28
1216,0,-10000,43,3328,28
1217,0,-10000,43,3323,28
1218,0,-10000,43,3315,28
1219,0,-10000,43,3317,28
1220,0,-10000,43,3319,28
1221,0,-10000,43,3322,28
1222,0,-10000,43,3324,28
1223,0,-10000,43,3326,28
1224,0,-10000,43,3330,28
1225,0,0,571,24710,27
1226,0,-10000,43,6384,28
1227,0,-10000,43,6417,28
1228,0,-10000,43,6680,28
1229,0,-10000,43,5692,28
1230,0,-10000,43,6418,28
1231,0,-10000,43,6420,28
1232,0,-10000,43,6422,28
1233,0,-10000,43,6424,28
1234,0,-10000,43,3333,28
1235,0,-10000,43,3334,28
1236,0,-10000,43,3335,28
1239,0,-10000,43,6416,28
1240,0,-10000,43,6419,28
1241,0,-10000,43,6421,28
1242,0,-10000,43,6423,28
1243,0,-10000,43,5693,28
