ID,RaceID,SexID,SectionID,VariationID,ColorID,IsNPC,TextureName
9043,3,1,7,13,5,0,Character\Dwarf\ScalpLowerHair03_05.blp
9044,3,1,7,13,6,0,Character\Dwarf\ScalpLowerHair03_06.blp
9045,3,1,7,13,7,0,Character\Dwarf\ScalpLowerHair03_07.blp
9046,3,1,7,13,8,0,Character\Dwarf\ScalpLowerHair03_08.blp
9047,3,1,7,13,9,0,Character\Dwarf\ScalpLowerHair03_09.blp
9048,3,1,8,0,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9049,3,1,8,0,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9050,3,1,8,0,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9051,3,1,8,0,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9052,3,1,8,0,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9053,3,1,8,0,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9054,3,1,8,0,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9055,3,1,8,0,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9056,3,1,8,0,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9057,3,1,8,0,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9058,3,1,8,1,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9059,3,1,8,1,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9060,3,1,8,1,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9061,3,1,8,1,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9062,3,1,8,1,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9063,3,1,8,1,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9064,3,1,8,1,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9065,3,1,8,1,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9066,3,1,8,1,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9067,3,1,8,1,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9068,3,1,8,2,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9069,3,1,8,2,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9070,3,1,8,2,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9071,3,1,8,2,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9072,3,1,8,2,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9073,3,1,8,2,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9074,3,1,8,2,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9075,3,1,8,2,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9076,3,1,8,2,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9077,3,1,8,2,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9078,3,1,8,3,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9079,3,1,8,3,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9080,3,1,8,3,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9081,3,1,8,3,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9082,3,1,8,3,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9083,3,1,8,3,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9084,3,1,8,3,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9085,3,1,8,3,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9086,3,1,8,3,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9087,3,1,8,3,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9088,3,1,8,4,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9089,3,1,8,4,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9090,3,1,8,4,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9091,3,1,8,4,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9092,3,1,8,4,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9093,3,1,8,4,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9094,3,1,8,4,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9095,3,1,8,4,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9096,3,1,8,4,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9097,3,1,8,4,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9098,3,1,8,5,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9099,3,1,8,5,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9100,3,1,8,5,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9101,3,1,8,5,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9102,3,1,8,5,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9103,3,1,8,5,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9104,3,1,8,5,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9105,3,1,8,5,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9106,3,1,8,5,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9107,3,1,8,5,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9108,3,1,8,6,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9109,3,1,8,6,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9110,3,1,8,6,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9111,3,1,8,6,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9112,3,1,8,6,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9113,3,1,8,6,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9114,3,1,8,6,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9115,3,1,8,6,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9116,3,1,8,6,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9117,3,1,8,6,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9118,3,1,8,7,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9119,3,1,8,7,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9120,3,1,8,7,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9121,3,1,8,7,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9122,3,1,8,7,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9123,3,1,8,7,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9124,3,1,8,7,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9125,3,1,8,7,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
9126,3,1,8,7,8,0,Character\Dwarf\ScalpUpperHair03_08.blp
9127,3,1,8,7,9,0,Character\Dwarf\ScalpUpperHair03_09.blp
9128,3,1,8,8,0,0,Character\Dwarf\ScalpUpperHair03_00.blp
9129,3,1,8,8,1,0,Character\Dwarf\ScalpUpperHair03_01.blp
9130,3,1,8,8,2,0,Character\Dwarf\ScalpUpperHair03_02.blp
9131,3,1,8,8,3,0,Character\Dwarf\ScalpUpperHair03_03.blp
9132,3,1,8,8,4,0,Character\Dwarf\ScalpUpperHair03_04.blp
9133,3,1,8,8,5,0,Character\Dwarf\ScalpUpperHair03_05.blp
9134,3,1,8,8,6,0,Character\Dwarf\ScalpUpperHair03_06.blp
9135,3,1,8,8,7,0,Character\Dwarf\ScalpUpperHair03_07.blp
